school_id,school_name,school_city,school_address,school_state,school_district,website,learning_model,suggested_tags_s,policy_factors,school_descriptor_district,school_descriptor_charter,school_descriptor_independent,school_descriptor_sws,school_descriptor_virtual,school_descriptor_microschool,school_descriptor_homeschool,school_descriptor_hub,school_descriptor_other,school_descriptor_other_text,leader_tenure,practices_design_marginalized,practices_restorative,practices_hiring_equity,practices_dual_language,practices_trauma_informed,practices_social_justice,practices_anti_racist,practices_reallocation_resources,practices_culturally_responsive,practices_disaggregated_participation_data,practices_families_leaders,practices_physical_well_being,practices_sel_curriculum,practices_teachers_leaders,practices_mental_health,practices_sel_integrated,practices_student_conferences,practices_assessments_sel,practices_community_supports,practices_expanded_open_hours,practices_students_leaders,practices_design_thinking,practices_place_based,practices_flexible_facilities,practices_interdisciplinary,practices_portfolios_exhibitions,practices_pbl,practices_peer_to_peer,practices_flexible_staffing,practices_makerspace,practices_service_learning,practices_student_projects,practices_real_world,practices_assessments_deeper,practices_blended_learning,practices_station_rotation,practices_flipped_classroom,practices_flex,practices_student_data,practices_a_la_carte,practices_enriched_virtual,practices_individual_rotation,practices_adaptive_content,practices_interoperability,practices_hybrid,practices_virtual_pathway,practices_competency_education,practices_expanded_success,practices_student_goals,practices_learning_paths,practices_student_pace,practices_performance_assessment,practices_learner_profiles,practices_accommodations,practices_udl,practices_grading_mastery,practices_advancement_mastery,practices_competency_framework,practices_opportunities_mastery,practices_mtss_academics,practices_multi_age,practices_mentoring,practices_community_partnerships,practices_early_college,practices_assessments_career,practices_industry_credentials,practices_advisories,practices_career_prep,practices_tutoring,practices_extended_learning,practices_elimination_tracking,practices_dual_credit,learn_practice_1,learn_practice_2,learn_practice_3,learn_practice_4,learn_practice_5,focus_swd,focus_emergent_bilinguals,focus_homeless,focus_economic_disadvantage,focus_bipoc,focus_newcomer,focus_foster,focus_juvenile_justice,focus_other_student_group,focus_other_student_group_text,student_experience,leaps_rank_high_expectations,leaps_rank_whole_child,leaps_rank_rigorous_learning,leaps_rank_relevance,leaps_rank_affirmation,leaps_rank_social_consciousness,leaps_rank_connection,leaps_rank_customization,leaps_rank_self_direction,leaps_rank_anytime_anywhere,leaps_high_expectations,leaps_whole_child,leaps_rigorous_learning,leaps_relevance,leaps_affirmation,leaps_social_consciousness,leaps_connection,leaps_customization,leaps_self_direction,leaps_anytime_anywhere,self_reported_locale_rural,self_reported_locale_urban,self_reported_locale_suburban,self_reported_total_enrollment,self_reported_grades_pre_k,self_reported_grades_kindergarten,self_reported_grades_1st,self_reported_grades_2nd,self_reported_grades_3rd,self_reported_grades_4th,self_reported_grades_5th,self_reported_grades_6th,self_reported_grades_7th,self_reported_grades_8th,self_reported_grades_9th,self_reported_grades_10th,self_reported_grades_11th,self_reported_grades_12th,self_reported_grades_past_12th,self_reported_grades_other,self_reported_grades_other_text,self_reported_race_aian,self_reported_race_asian,self_reported_race_black,self_reported_race_hispanic,self_reported_race_nhpi,self_reported_race_multiple,self_reported_race_white,self_reported_ell,self_reported_frpl,self_reported_swd,self_reported_ela,self_reported_math,nces_id,nces_locale,nces_total_enrollment,nces_grades_pre_k,nces_grades_kindergarten,nces_grades_1st,nces_grades_2nd,nces_grades_3rd,nces_grades_4th,nces_grades_5th,nces_grades_6th,nces_grades_7th,nces_grades_8th,nces_grades_9th,nces_grades_10th,nces_grades_11th,nces_grades_12th,nces_grades_13th,nces_race_black,nces_race_nhpi,nces_race_asian,nces_race_hispanic,nces_race_aian,nces_race_white,nces_race_multiple,nces_frpl,nces_swd,nces_ell,ELA_School_Average,Math_School_Average,resource_text_1,resource_link_1,resource_text_2,resource_link_2,resource_text_3,resource_link_3,public_contact,public_contact_role,public_contact_email,nces_descriptor,Updated
41,CodeRVA Regional High School,Richmond,"1405 Cummings Drive, Suite 10",Virginia,CodeRVA Regional High School,coderva.org,"Since its founding in 2017, CodeRVA has used blended (online and face-to-face) learning to develop students’ self-management skills while integrating academic content, agile workplace methodologies, and internship experiences to provide a pipeline of critical thinkers prepared to enter college or Richmond’s growing tech sector.  The mission of CodeRVA Regional High School is to prepare a diverse population of students for college and careers in computer science through personalized, integrated, and applied learning.",,Our school needs additional state funding or additional private donations to be able to provide the level of care our students deserve.,,,,,,,,,1,Regional Magnet Program,1-3 years,1-2 years,,1,,,1,1,1,1-2 years,1,,1,1,1,,,,,,,,1,,1,1,1,,,,,,,1,1,5+ years,,1,,1,1,,,,1,,1,1,,,,1,1,,1,,,,,1,1,1,,1,1,,1,,3-4 years,1,,1,3-4 years,,,,,,1,,,1,1,,,,,,"Our students engage in personalized learning, which means their learning is personalized for them academically, but they are also known as a person.",3,5,,,6,,1,4,7,2,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,,,Assimilation & Marginalization → Affirmation of Self & Others,,Isolation → Connection & Community,Inflexible Systems → Customization,Passive Compliance → Active Self-Direction,"Siloed Schooling → Anytime, Anywhere Learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,98,96,510025603031,Urban,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,10.99%,0.00%,,,Blending Virtual Learning into Practice,http://vascd.org/uploads/fall-2020.pdf,,,,,"Kume Goranson, Ed.D.",Executive Director,kume.goranson@coderva.org,,2022-02-27 17:32:33
42,Columbia Heights Educational Campus (Chec),Washington,3101 16th St NW,District of Columbia,DCPS,http://checdc.org,"Our learning model is based on project based learning and portfolio assessment. All of our courses are based on the completion of standards aligned, teacher designed projects, based on themes of social justice.  Instruction is based on a workshop model, in which students work on their projects (called GRASPS) in class, and self and peer assess with rubrics. Every 9 weeks, students present a portfolio of their work to their classmates. Parents are invited to the presentations as well.",,Elimination of Carnegie Unit and Seat Hour requirements,1,,,,,,,,,,10 years or more,1,5+ years,1,5+ years,1,5+ years,1,1,5+ years,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5+ years,1,1,,,,1,1,1,1,,,,1,,,,,1,,1,,,1,,1,1,,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1:1 mentoring,culturally responsive practices,design thinking process,interdisciplinary,trauma-informed practices,1,1,1,1,1,1,1,1,1,Spanish Language Learners,,1,2,,3,,,,,,,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,,Irrelevance → Relevance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110003000396,Urban,1481,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,32.68%,0.13%,1.01%,63.75%,0.00%,1.15%,1.28%,48.41%,10.00%,39.35%,,,,,,,,,Kapindi Kroma,Program Development,maria.tukeva@k12.dc.gov,,2022-03-11 14:29:50
44,Common Ground High School,New Haven,358 Springside Ave.,Connecticut,New Haven Ecology Project,http://www.commongroundct.org,"Common Ground helps all students travel pathways to college success and continuous learning, powerful leadership for a just and sustainable world, meaningful careers that sustain them and their families, and happy, healthy, sustainable lives. We help students grow into their full potential through active, authentic learning that's rooted in justice and our place: a farm, in a forest, in a city. Our learning environment is build on foundational building blocks: rigor, responsive relationships, relevance -- rooted in the local environment, and real roles and rights.  Learning starts with interdisciplinary core experiences in grades 9 and 10, and continue with internships, early college, electives, and other choices in grades 11 and 12.","active, authentic learning, integrating rigor and relevance.","- Equitable funding for public charter schools would make an enormous difference. 
- Less focus on the SAT as a primary measure of students' success and a school's effectiveness.",,1,,,,,,,,,Less than a year,1,,1,,,5+ years,,,1,,,,1,1,1,1,1,1,1,1,5+ years,,5+ years,,1,5+ years,1,,1,,,,1,1,,,,,1,,,,,,,,,1,1,1,1,1,,,1,,,,,,,,1,1,,,1,1,1,5+ years,1,1,project-based learning,competency/mastery-based education,restorative practices,families as co-leaders,,1,1,1,1,1,1,1,,,,"Common Ground has planted the seeds of a student-centered model of urban public high school education that leverages the larger learning ecosystem to help all students succeed in and beyond high school. We are growing these seeds into an integrated, responsive, student-centered, community-rooted model of urban public secondary education.

What if all 9th and 10th graders experienced a rich set of interdisciplinary, community-based learning experiences, culminating in performances and products for real audiences? What if our students’ 9th and 10th grade experiences were built to help them navigate and succeed in learning opportunities within and beyond the classroom, preparing them for more independent work in junior and senior years? 

In 9th grade, as students are first finding Common Ground, their experiences starts close to home -- focused on their own identity, our 20-acre campus, and their place in our community.  The year starts with an immersion in Common Ground’s urban farm, and in questions related to this place -- how we feed ourselves and meet our other basic needs, how we build a food system is fair and just, how energy flows through our food system, what math tells us about what Common Ground’s urban farm should grow. Students move from this focus on basic needs to a study of how to survive and thrive in a diverse community, and then  explore how we create positive change in the places we call home. Each unit culminates in a real performance for a public audience: presenting a variety of work at a family food night, for instance. Through these experiences, students make measurable and significant growth as readers, writers, and problem-solvers -- and gain the skills they need to navigate and advocate in a variety of learning settings. Because a team of teachers share these new students and the curriculum is built to help students share their experiences, teachers can be responsive to the young people in front of them. 

In 10th grade, students turn from their own campus and identity to the City of New Haven as a whole.  Four integrated units -- New Haven Stories, Justice & Change, Climate & Power, and Community Health -- push students to explore the systems and dynamics that have shaped our city, and how they can help to create a more just and sustainable community. Student venture out into the city throughout each unit -- connecting with neighborhood leaders, exploring neighborhood change, helping policymakers develop solutions to real problems -- and community members regularly push in to roles as co-teachers. Again, each unit challenges students to synthesize and share their learning for an authentic audience: building a website and photo essay about their New Haven stories, producing an original piece of theater that enacts and intervenes in injustice, creating art that helps address climate change, producing video public service announcements that help create a healthier community. The expectations of students ramp up, as they prepare to take greater control of their educational path in grades 11 and 12. 

These experiences will be grounded in a common set of design principles, co-created by Common Ground students and teachers -- the foundational building blocks of teaching and learning at Common Ground. Through extended units of study, students will tackle questions and problems that hit close to home – relevant and responsive to their own lives, and the communities and cultures they call home. These interdisciplinary units will integrate core disciplinary standards and teachers from math, science, ELA, and social studies into a deep learning experience that takes up half of students’ school day. Through start-of-unit expeditions, ongoing field work, and culminating performances for public audiences, students will experience and develop skills for navigating a larger learning ecosystem. These experiences will also be designed to build students’ capacity as leaders, change agents, and social justice advocates – rooted in Common Ground’s school-wide leadership framework.  Students will have real and growing voice and agency about what they learn, how they learn, and how they demonstrate learning – and universal design will support the participation of all students. 

What if all juniors and seniors were able to curate their own learning plan, with support from their academic advisors, integrating college courses, work experiences, internships, elective courses, and core academic offerings? 

As students move into their last two years of high school, they will take increasing control of their own education. A core junior seminar will ground their experience, in which they will build skills for action research, explore college and career options, and identify expanded learning opportunities that match their interests. The following year, a Senior Environmental Justice Capstone will support students as they refine college essays, conduct college-level research on social and environmental challenges, take on capstone projects that address these challenges, and prepare to defend their leadership portfolios.  

We know, as well, that core academic classes will form a key part of every student’s schedule, and that these courses will include opportunities for community-based field work, culminating performances for public audiences, and learning that is tied to college, career, and community leadership. We are fully committed to a vertically aligned, scaffolded experience in the core subjects that ensures that all students graduate college-ready. 

In the context of these anchor experiences, the junior and senior experience will consistently blur the line between school and the larger community, between school day and out-of-school time. All of our juniors and seniors will participate in a combination of early college courses, work-based learning opportunities, internships, and credit-bearing out-of-school opportunities. Many will travel to Southern Connecticut State University, just around the corner from Common Ground’s campus, for a part of their school day. Community organizations will push into the school day and building in more robust ways, as well; for instance, the education director from a local theater company teaches a course on using devised theater methodologies to confront social justice challenges. Students will earn credit by documenting learning in out-of-school programs, work placements, and internships.  Some students will develop their own learning experiences from the ground up.

The mix of these types of experiences vary from student to student. Some will opt for more traditional high school experiences, while others will participate more in the wider learning ecosystem.  

What if experiences through Green Jobs Corps, Common Ground’s urban farm and community programs, and out-of-school opportunities were intentionally connected with academic classes, so that students had a chance to practice skills and understandings developed in their courses in the workplace and other out-of-school settings? What if all students built and explored their own pathways through their four years of high school, integrating experiences in a wide range of learning environments?   

Some students will choose to blaze their own pathways, while others will find one that’s well trodden already. The farm immersion unit in the 9th grade core prepares students for a community-based exploration of food justice and access in the 10th grade core. Students can choose to dive deeper into these questions through an elective course on food justice, perhaps leading into a farm internship, a paid work opportunity through our Green Jobs Corps, farm-based after-school programs, and/or a senior project.

Students will explore pathways to college, as well. Every 9th grader makes it onto the campus of Southern Connecticut State University  -- touring campus, participating in workshops led by undergraduates, and accessing campus resources. As sophomores, they will collaborate with Southern’s public health department to take on community-based health research, and work with a theater company housed at Southern to create Theater of the Oppressed-style productions. They will be able to take a course on Common Ground’s campus, taught by Southern faculty and bearing college credit. They can also choose to take courses for free at SCSU -- and are more likely to experience success because of the supports that are in place. 

What if students’ leadership portfolio and school-wide leadership framework were tools for documenting mastery and growth in non-academic and academic competencies, across all of these experiences and settings? What if our students’ academic advisors worked with students and their families to create and leverage the mix of learning opportunities that were right for them?    

When students participate in a program at the Peabody Museum, or an internship in our Nature Year program, they and the staff who supervise them will document their learning goals and outcomes using Common Ground’s school-wide leadership framework – earning credit by demonstrating growth and mastery of transferable skills. Working with Common Ground’s art teacher, they will demonstrate how these out-of-school experiences demonstrate mastery of subject area standards, as well – allowing them to earn advanced art credit toward graduation.  Similarly, the grades and feedback that students receive in their Common Ground courses will reflect both students’ growth in transferable leadership skills, and their mastery of academic standards. 

Students’ advisors will help students identify and dive into experiences that match their interests, and will coordinate with the staff responsible for overseeing expanded learning to ensure that a clear learning plan is in place. Over four years of high school, students’ work in advisory will have scaffolded deep growth in non-academic domains: supporting social/emotional development, increased agency and leadership capacity, college and career exploration, and the goal-setting and follow-through skills needed to take control of their educational experience. By the time they graduate, students will have built and defended a rich electronic portfolio that integrates academic learning and leadership competencies. It will be the norm to share these portfolios with college admissions offices and prospective employers. Students’ transcripts will also reflect growth and mastery through this rich engagement with the wider learning ecosystem.

What if -- through these experiences and the flexible pathways that connect them -- every Common Ground student graduated ready for college success (recognizing that some students will choose to pursue other paths), powerful environmental justice leadership, meaningful careers, and healthy, happy, whole, sustainable lives? That is our ultimate vision: That students choose their own path AND meet universally high expectations for growth and competence.",6,5,1,2,8,4,3,,7,,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,Rote Activities →  Rigorous Learning,Irrelevance → Relevance,Assimilation & Marginalization → Affirmation of Self & Others,Reinforcement of the Status Quo → Social Consciousness & Action,Isolation → Connection & Community,,Passive Compliance → Active Self-Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90001400807,Urban,222,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,36.21%,0.00%,0.00%,38.36%,0.00%,22.41%,3.02%,63.51%,17.82%,3.47%,,,"Making the Road by Walking, from Green Schools Catalyst Quarterly",https://catalyst.greenschoolsnationalnetwork.org/gscatalyst/june_2019/MobilePagedReplica.action?pm=2&folio=86#pg86,"Profiles of Innovation: Common Ground High School, from CRPE",https://crpe.org/new-england-profiles-of-innovation-common-ground-high-school/,Common Ground: Our Approach to Learning,https://www.commongroundct.org/high-school/environmental-learning/,Joel Tolman,Director of Community Impact & Engagement,jtolman@commongroundct.org,,2022-03-08 9:43:56
45,Community Lab School,Charlottesville,1200 Forest Street,Virginia,Albemarle County School District,https://cls.k12albemarle.org/,"student-centered, project-based",,,1,1,,,,,,,1,Lab School,4-6 years,1,1,1,,1,1,1,1,1,,,,1,5+ years,1,,,1,,,1,1,1,1,5+ years,1,5+ years,1,1,1,,1,1,1,,,,,,,,,,,,,5+ years,,1,,,1,,1,1,1,1,1,1,,5+ years,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,7,3,1,2,4,5,6,,8,,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,Rote Activities →  Rigorous Learning,Irrelevance → Relevance,Assimilation & Marginalization → Affirmation of Self & Others,Reinforcement of the Status Quo → Social Consciousness & Action,Isolation → Connection & Community,,Passive Compliance → Active Self-Direction,,1,1,1,210,,,,,,,,1,1,1,1,1,1,1,,,,1,4,3,9,,12,71,3,24,21,86,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBS Newshour article,https://www.pbs.org/newshour/education/what-science-tells-us-about-improving-middle-school,UVA Today article,https://news.virginia.edu/content/4-things-your-teen-or-pre-teen-needs,EdSurge article,https://www.edsurge.com/news/2018-12-11-how-playful-assessment-unseated-standardized-tests-at-one-school,Chad Ratliff,Principal,cratliff@k12albemarle.org,,2022-02-22 16:37:31
47,Concourse Village Elementary School,Bronx,750 CONCOURSE VILLAGE W,New York,New York City Geographic Region #7,https://www.cves359.com/,Our learning environment is safe and nurturing and designed to take intellectual risks. Students can voice their needs and make choices throughout the school day to create a strong sense of self.,"thought provoking
action based 
real-world","If I could wave a magic wand, I would love to revamp the school calendar. First, I would reduce the number of days off to create consistency. Second, I would partner with an organization that hones in on quality enrichment activities so that teachers could have a full day of planning every week. Finally, I would extend the day and end the school year earlier, focusing on strategic planning for the upcoming school year.",1,,,,,,,,,,7-9 years,,,,,,,,1,1-2 years,,,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,,1,3-4 years,1-2 years,1,3-4 years,1-2 years,1,1,,,1,,,,,,1,,1,1,,1,1,1,1,,1,1,,,,,,1,,1,,,1,,,à la carte model,advancement on mastery,adaptive content,1:1 mentoring,accommodations provided to all students,,,,,,,,,,,"The student experience empowers students to ask questions, research, and want to know more about a topic. The student experience should feel like an awakening where they willingly share their learning with the world.",3,,,,2,4,,5,1,6,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,,,,Assimilation & Marginalization → Affirmation of Self & Others,Reinforcement of the Status Quo → Social Consciousness & Action,,Inflexible Systems → Customization,Passive Compliance → Active Self-Direction,"Siloed Schooling → Anytime, Anywhere Learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,21,79,84,360008406382,Urban,336,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,31.64%,0.60%,0.60%,65.67%,0.30%,1.19%,0.00%,85.12%,,,,,Collaborative Reading: featured on Edutopia is a five-phase reading process that I developed to hone in on close reading skills.,https://www.edutopia.org/video/collaborative-reading-building-successful-readers-together,Professional Growth Partners: this is the process we use to give one another weekly feedback on our progress.,https://www.edutopia.org/video/pairing-teachers-drive-professional-development,Whole child study conducted by the chan zuckerberg initiative,https://chanzuckerberg.com/wp-content/uploads/2020/01/20_0110-CZI-CSD-CaseStudy-ConcourseVillage.pdf,Alexa Sorden,Founding Principal of CVES359,sorden.alexa@mycves.org,,2022-02-22 22:48:44
526,Crossroads Flex,Cary,5651 Dillard Dr,North Carolina,Wake County Schools,http://www.wcpss.net/crossroadsflexhs,"Crossroads FLEX is a digital, blended learning school. Crossroads FLEX serves students whose outside interests and activities require considerable amounts of time during regular school hours known as “pursuits.” Pursuits can include highly competitive and active students in the arts, sports, and entrepreneurship. Crossroads FLEX allows students to meet those obligations while meeting all requirements for high school graduation and college and career readiness.
A Crossroads FLEX student is responsible, self-motivated, engaged, and exhibits the highest degree of integrity. Crossroads FLEX’s vision is to guide and graduate students whose individual pursuits empower them to emblazon change upon the world.",,,1,,,,,,,,,,1-3 years,,,,,,,,,,,,,,,,3-4 years,,,,1,,,,1,1,1,1-2 years,,,,,1,,1,5+ years,,1,1,,,1,,,,1,1,,,,,,1,,1,,1-2 years,,,1,3-4 years,,,1,,1,1,,1,,1,,1,assessments for deeper learning,culturally responsive practices,family and community support services,individual learning paths,peer to peer support,,,,,,,,,,,"A Crossroads FLEX student is responsible, self-motivated, engaged, and exhibits the highest degree of integrity. Students are encouraged to reflect on the world around them, refocus their priorities, and refine what they are willing to try differently. At Crossroads FLEX, students meet with teachers to review their learning progress, discuss their work, ask questions, or receive assistance with difficult concepts. Students work independently on online lessons, projects, and assignments at home and school. Crossroads FLEX’s vision is to guide and graduate students whose individual pursuits empower them to emblazon change upon the world.",,4,3,5,,,,1,,2,,Narrow Focus → Whole-Child Focus,Rote Activities →  Rigorous Learning,Irrelevance → Relevance,,,,Inflexible Systems → Customization,,"Siloed Schooling → Anytime, Anywhere Learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370472003402,Urban,150,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,9.87%,0.00%,3.29%,4.61%,0.66%,79.61%,1.97%,2.00%,2.97%,0.00%,,,Crossroads FLEX Awarded Top 100 North Carolina High School Honors by US News & World Report,https://www.usnews.com/education/best-high-schools/north-carolina/districts/wake-county-schools/crossroads-flex-200634,Crossroads FLEX High School and virtual learning allow students to pursue outside interests,https://www.ednc.org/theres-no-typical-day-crossroads-flex-high-school-and-virtual-learning-allow-students-to-pursue-outside-interests/,"Cary high school serves students who dedicate time to outside interests, activities.",https://www.wral.com/cary-high-school-serves-students-who-dedicate-time-to-outside-interests-activities-/16008860/,Debbie C. Ray,Principal,dcray@wcpss.net,,2022-03-16 6:59:45
630,Crotona International High School,Bronx,2474 CROTONA AVE,New York,New York City Geographic District 10,http://www.crotonainternationalhs.org,"Crotona International High School is a school for newly arrived immigrant children. They are new to the language, culture and country. Through our project based instructional model and core principles of experiential learning, heterogeneity and collaboration, language and content integration, localized autonomy and one learning model for all, we provide wholistic education to our students. We have structures like advisory, mentoring and small classes to support every student academically as well as socio-emotionally. To graduate our students create in depth projects and present their learnings to several stakeholders.",Project based curriculum and design,"I would love to see the following:
Waiver for seat time requirements to earn credits, limits on how many credits can students earn during summer.",1,,,,,,,,,,7-9 years,1,5+ years,,,,1,,1,1-2 years,,,,,1,,,,1,,,,1,,,1-2 years,1,5+ years,1,,,,,,1,,,,,1,,,,,,,,,,,1,,1,,,,1,1,,1,,,,,,,1,5+ years,1,1,,,,advancement on mastery,à la carte model,1:1 mentoring,adaptive content,accommodations provided to all students,1,1,,1,1,1,,,,,Our environment is designed to create an environment where students engage in collaborative learning. Teachers design projects that are authentic and real world and prepare them for their life ahead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,1,,,360008706247,Urban,337,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,5.04%,0.30%,4.75%,89.91%,0.00%,0.00%,0.00%,84.57%,,,,,Students created and presented their project videos on community issues at the local Belmont library to the community members.,https://www.bxtimes.com/crotona-internl-hs-community-change-agents/,Students created and presented their project videos on community issues at the local Belmont library to the community members.,https://www.bxtimes.com/crotona-internl-hs-student-film-series/,"Three of our students participated in Students for Sustainability: Song and music:Hosted by Grammy-nominated singer-songwriter and social activist, Tracy Bonham, this event features NYC students and their marking an unprecedented year of challenges: environmentally, economically, socially, and emotionally. Music is their lifeline. It's how they cope and communicate and, now, inspire with their original songs set to film in an evening you will not forget.",https://www.youtube.com/watch?v=E92rPaXSLt0,Shweta Ratra,Principal,sratra2@schools.nyc.gov,,2022-03-07 11:22:33
623,Dallas Hybrid Preparatory At Stephen J. Hay,Dallas,,Texas,Dallas Isd,,"Dallas Hybrid Preparatory is a rigorous yet flexible learning environment intentionally designed to build students' agency, creativity, and collaboration in a safe and inclusive learning environment. We balance learning from home three times a week with learning in-person, twice a week.  

Our focus:

Gamification in E-Learning
Project-Based Learning
STEM Career Pathways
E-Sports, Coding, and Makerspace","Gamified learning environment, Individualist, Empowerment, Student Agency","If I had the power to change a specific education policy, I would change standardized testing and core class minutes allocations. Testing should not be the driver for learning, and flexibility in our instructional time would provide true differentiation and individualization for accelerated learning.",1,,,,,,,,,,Less than a year,1,1,1,1,,Less than a year,Less than a year,1,1,1,,1,Less than a year,1,,1,,1,,,1,,,1,,,Less than a year,1,1,1,,,1,,1,,1,,,,1,,,,Less than a year,,,,1,1,,,1,1,,,1,,1,1,1,,1,,1,,1,,1,,,,assessments for deeper learning,adaptive content,competency/mastery-based education,families as co-leaders,universal design for learning,1,1,,1,1,1,,,,,"At Hybrid, students and teachers have the freedom to use the whole campus as their classroom. Our school is designed to be an exploration site for hands-on, engaging learning experiences and collaboration to build a strong community of learners.",1,2,,,5,,3,,4,6,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,,,Assimilation & Marginalization → Affirmation of Self & Others,,Isolation → Connection & Community,,Passive Compliance → Active Self-Direction,"Siloed Schooling → Anytime, Anywhere Learning",,1,,70,,,,,,1,1,1,,,,,,,,,,,,30,50,,10,10,40,60,10,80,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas Hybrid Prep recruitment video,https://www.youtube.com/watch?v=JqAkYAQ7dDc,Gamified Learning Platform,https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/05/05/dallas-isd-launching-first-of-its-kind--hybrid-school--with-video-game-esque-learning-platform,,,Dr. Olga Romero,Founding Principal,oromero@dallasisd.org,,2022-03-11 12:01:56
575,Dayspring Academy,Port Richey,9732 LITTLE RD,Florida,Pasco,http://WWW.PASCO.K12.FL.US,"Content rich, collaborative- Problem based, creative, community, charterer driven environment.  Dayspring established pathways where every learner can earn stackable industry certifications and College level credits while in K-12. The goal being learners earning their AA degree.",,,,1,,,,,,,,,10 years or more,1,,1,,,,,,,1,,,,,,,,,1,1,,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,5+ years,1,1,5+ years,,1,1,1,,5+ years,1,1,1,1,,5+ years,1,3-4 years,1,1,1,1,,,1,1,advancement on mastery,early college high school,competency/mastery-based education,flexible facilities & classroom design,student-led goal setting,,,,1,1,,,,,,"A content rich, customized, collaborative, creative,  and rigorous learning environment.",,,,,,,2,1,3,4,,,,,,,Isolation → Connection & Community,Inflexible Systems → Customization,Passive Compliance → Active Self-Direction,"Siloed Schooling → Anytime, Anywhere Learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120153004426,Suburban,836,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.56%,0.00%,4.25%,15.87%,0.11%,73.97%,4.25%,47.73%,7.24%,1.47%,,,,,,,,,R Suzanne Legg,CEO,Suzanne@dayspringacademy.org,,2022-03-03 6:44:52
52,DB EXCEL (Kingsport),Kingsport,,Tennessee,Kingsport City Schools,https://dbexcel.k12k.com/,"A team of KCS leaders met to conceptualize an innovative course of action to meet the needs of the 21st-century learner. The team worked to create a vision that embraced ideas of virtual & blended learning, engaging & relevant digital content, robust instructional technology, powerful data analytics, & the importance of relationships that would support a learning environment emphasizing personalized learning.  This vision was implemented in the fall of 2014. DBE included an intentional focus on professional learning. These mindsets extend throughout the school as a defined focus for students & staff. The fabric of DBE is woven with a thread of personalized education experiences for all that support student success in college and career.",,"The current policy in place dictates 22 credits a student has to receive in high school. TO be fully personalized, we need to design a true pathway that allows students to discover, create and innovate.",1,,,,,,,,,,7-9 years,,1,,,,,,1,1,,,,,,,1,1,1,,,,3-4 years,1,5+ years,1,1,3-4 years,,1,5+ years,,1,1,1,5+ years,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,competency/mastery-based education,mental health services,universal design for learning,interdisciplinary,teachers as co-leaders,,,,,,,,,,,,,,,2,,,3,1,,,,,,Irrelevance → Relevance,,,Isolation → Connection & Community,Inflexible Systems → Customization,,,,,1,250,,,,,,,,,,,1,1,1,1,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What High School Could Be,https://tnscore.org/wp-content/uploads/2019/07/What-High-School-Could-Be-2019.pdf,,,,,Shanna Hensley,Principal,shensley@k12k.com,,2022-03-02 10:32:51
